user_scope,SourceIP,DestinationIP,SourcePort,DestinationPort,URL,TrafficType,ProtocolType,ApplicationProtocol,BusinessProtocol,Duration,VisitsData,accessTime,ULData,DLData,DomainName,area
1,123.148.4.61,118.212.234.85,51842,443,"http://172.22.100.81:39003/",2,TCP,8,28,,0,2023-12-01 15:09:39,898,580,,330000
1,123.148.4.61,202.108.0.99,51842,443,"http://172.22.100.81:39003/",2,TCP,8,3,,0,2023-12-01 09:46:30,4649,27243,weibo.com,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 04:50:06,198,70,,330000
1,123.148.4.61,202.108.0.99,51842,443,"",2,TCP,999,28,,0,2023-12-01 09:48:29,64,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 05:46:19,64,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 07:11:36,64,0,,330000
1,123.148.4.61,157.255.13.233,51842,443,"",2,TCP,8,28,,0,2023-12-01 12:29:36,186,70,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:22:10,128,0,,330000
1,123.148.4.61,157.148.42.164,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:17:29,128,0,,330000
1,123.148.4.61,52.123.252.21,51842,443,"",2,TCP,8,28,,0,2023-12-01 10:05:49,128,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 02:58:33,134,70,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 05:48:40,198,70,,330000
1,123.148.4.61,112.84.34.38,51842,443,"",2,TCP,8,28,,0,2023-12-01 11:35:21,27301,230304,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:22:06,1926,1890,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:24:26,70,128,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 00:28:47,198,0,,330000
1,123.148.4.61,52.182.143.211,51842,443,"",2,TCP,8,28,,0,2023-12-01 03:38:38,70,0,,330000
1,123.148.4.61,51.132.193.105,51842,443,"",2,TCP,8,28,,0,2023-12-01 16:43:16,134,0,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:19:06,64,639,,330000
1,123.148.4.61,52.98.50.18,51842,443,"",2,TCP,8,14,,0,2023-12-01 09:18:32,202,64,outlook.office365.com,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:21:06,64,0,,330000
1,123.148.4.61,157.148.42.164,51842,443,"",2,TCP,8,28,,0,2023-12-01 03:35:13,126,0,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:23:06,1358,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 02:53:56,64,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:54:37,128,0,,330000
1,123.148.4.61,123.157.149.41,51842,443,"",2,TCP,999,28,,0,2023-12-01 16:57:18,66,0,,330000
1,123.148.4.61,112.83.140.11,51842,443,"",2,TCP,8,5,,0,2023-12-01 10:21:15,3214,6347,message.bilibili.com,330000
1,123.148.4.61,153.3.238.110,51842,443,"",2,TCP,8,28,,0,2023-12-01 06:45:12,262,192,,330000
1,123.148.4.61,153.3.46.86,51842,443,"",2,TCP,8,28,,0,2023-12-01 09:40:45,70,64,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:20:06,2009,1160,,330000
1,123.148.4.61,112.84.34.38,51842,443,"",2,TCP,8,28,,0,2023-12-01 11:36:02,120,204,,330000
1,123.148.4.61,123.157.149.41,51842,443,"",2,TCP,8,2,,0,2023-12-01 16:56:33,1176,20283,pic4.zhimg.com,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 07:20:45,70,128,,330000
1,123.148.4.61,157.148.42.164,51842,443,"",2,TCP,8,28,,0,2023-12-01 03:29:04,60,0,,330000
1,123.148.4.61,202.108.0.99,51842,443,"",2,TCP,8,28,,0,2023-12-01 09:47:29,1912,1295,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 00:53:57,64,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 05:53:49,198,70,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,999,28,,0,2023-12-01 18:24:06,64,0,,330000
1,123.148.4.61,35.73.100.104,51842,443,"",2,TCP,8,28,,0,2023-12-01 05:58:48,198,70,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 07:51:49,128,0,,330000
1,123.148.4.61,218.60.18.12,51842,443,"",2,TCP,8,28,,0,2023-12-01 18:24:41,705,3351,,330000
1,123.148.4.61,123.157.149.41,51842,443,"",2,TCP,8,28,,0,2023-12-01 16:58:33,64,60,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:38:21,128,0,,330000
1,123.148.4.61,119.167.131.165,51842,443,"",2,UDP,999,28,,0,2023-12-01 12:42:34,8424,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 05:30:52,198,70,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 00:37:45,198,70,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 04:33:25,64,0,,330000
1,123.148.4.61,157.148.42.164,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:52:06,120,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 00:58:55,134,0,,330000
1,123.148.4.61,157.255.5.55,51842,443,"",2,TCP,8,28,,0,2023-12-01 01:26:49,198,0,,330000
1,123.148.4.61,101.89.224.97,51842,443,"",2,TCP,8,28,,0,2023-12-01 12:23:14,16743,3142,123.148.4.61,330000
1,123.148.4.61,211.91.52.57,51842,443,"",2,TCP,8,28,,0,2023-12-01 12:43:58,70,128,,330000
