IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,IP_SRC_ADDR,IP_DST_ADDR,PROTOCOL,L4_SRC_PORT,L4_DST_PORT,TOS,DST_TOS,TCP_FLAGS,start_time,end_time,src_region,dst_region,src_group,dst_group,area,FLOW_SAMPLER_ID,user_scope
4062000,3000,0,0,122.14.62.91,101.200.242.144,6,443,61051,0,0,16,2024-07-23 17:39:50,2024-07-23 17:39:50,110000,0,3,99,110000,,1
180000,3000,0,0,101.200.242.144,140.82.112.21,6,50615,443,0,0,17,2024-07-23 09:39:34,2024-07-23 09:39:34,0,0,99,99,110000,,1
198000,3000,0,0,101.200.242.144,59.0.91.47,6,22,36160,0,0,16,2024-07-23 07:20:01,2024-07-23 07:20:01,0,0,99,99,110000,,1
236000,2000,0,0,101.200.242.144,137.184.238.178,6,22,35908,0,0,24,2024-07-23 12:06:50,2024-07-23 12:06:50,0,0,99,99,110000,,1
120000,2000,0,0,101.200.242.144,87.246.7.118,6,35494,50834,0,0,20,2024-07-23 13:29:57,2024-07-23 13:29:57,0,0,99,99,110000,,1
1362000,3000,0,0,101.200.242.144,43.153.194.186,6,22,44814,0,0,24,2024-07-23 19:53:53,2024-07-23 19:53:53,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,20.197.71.89,6,55965,443,0,0,16,2024-07-23 19:49:53,2024-07-23 19:49:53,0,0,99,99,110000,,1
4062000,3000,0,0,111.203.202.62,101.200.242.144,6,443,55916,0,0,16,2024-07-23 18:38:48,2024-07-23 18:38:48,110000,0,3,99,110000,,1
180000,3000,0,0,101.200.242.144,111.203.202.58,6,55628,80,0,0,16,2024-07-23 18:30:52,2024-07-23 18:30:52,0,110000,99,3,110000,,1
180000,3000,0,0,101.200.242.144,111.203.202.58,6,55576,80,0,0,16,2024-07-23 18:30:43,2024-07-23 18:30:43,0,110000,99,3,110000,,1
180000,3000,0,0,101.200.242.144,111.203.202.58,6,55586,80,0,0,16,2024-07-23 18:30:44,2024-07-23 18:30:44,0,110000,99,3,110000,,1
198000,3000,0,0,101.200.242.144,182.93.7.194,6,22,42228,0,0,16,2024-07-23 13:29:32,2024-07-23 13:29:32,0,0,99,99,110000,,1
66000,1000,0,0,60.29.127.226,101.200.242.144,6,39283,22,0,0,16,2024-07-23 23:47:54,2024-07-23 23:47:54,120000,0,3,99,120000,,1
66000,1000,0,0,101.200.242.144,139.198.174.192,6,22,57024,0,0,16,2024-07-23 04:30:45,2024-07-23 04:30:45,0,0,99,99,310000,,1
180000,3000,0,0,101.200.242.144,20.189.173.10,6,52779,443,0,0,16,2024-07-23 14:27:56,2024-07-23 14:27:56,0,0,99,99,110000,,1
120000,2000,0,0,101.200.242.144,47.236.251.77,6,3306,57288,0,0,20,2024-07-23 09:15:55,2024-07-23 09:15:55,0,0,99,99,110000,,1
2708000,2000,0,0,13.107.246.74,101.200.242.144,6,443,53715,0,0,24,2024-07-23 16:01:34,2024-07-23 16:01:34,0,0,99,99,,,1
120000,2000,0,0,101.200.242.144,5.45.75.18,6,20003,46823,0,0,20,2024-07-23 19:06:35,2024-07-23 19:06:35,0,0,99,99,110000,,1
198000,3000,0,0,101.200.242.144,64.227.162.92,6,22,46570,0,0,16,2024-07-23 19:56:17,2024-07-23 19:56:17,0,0,99,99,110000,,1
10832000,8000,0,0,20.38.104.164,101.200.242.144,6,443,56711,0,0,16,2024-07-23 19:14:05,2024-07-23 19:14:12,0,0,99,99,,,1
66000,1000,0,0,111.67.193.206,101.200.242.144,6,33738,22,0,0,16,2024-07-23 17:12:18,2024-07-23 17:12:18,110000,0,3,99,130000,,1
2706000,2000,0,0,101.200.242.144,34.240.117.4,6,56514,443,0,0,24,2024-07-23 20:55:38,2024-07-23 20:55:38,0,0,99,99,110000,,1
198000,3000,0,0,65.181.73.155,101.200.242.144,6,44994,22,0,0,17,2024-07-23 00:49:21,2024-07-23 00:49:21,810000,0,99,99,110000,,1
132000,2000,0,0,101.200.242.144,43.156.30.2,6,22,54862,0,0,17,2024-07-23 00:10:15,2024-07-23 00:10:15,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,111.203.202.62,6,55916,443,0,0,16,2024-07-23 18:39:01,2024-07-23 18:39:01,0,110000,99,3,110000,,1
148000,2000,0,0,167.94.145.24,101.200.242.144,6,47511,58000,0,0,2,2024-07-23 10:00:31,2024-07-23 10:00:31,0,0,99,99,,,1
180000,3000,0,0,101.200.242.144,139.162.190.203,6,33899,31038,0,0,20,2024-07-23 23:41:20,2024-07-23 23:41:20,0,0,99,99,110000,,1
80000,2000,0,0,172.104.175.191,101.200.242.144,6,42869,24565,0,0,2,2024-07-23 05:35:17,2024-07-23 05:35:17,0,0,99,99,,,1
198000,3000,0,0,49.207.4.65,101.200.242.144,6,43552,22,0,0,17,2024-07-23 20:06:12,2024-07-23 20:06:12,0,0,99,99,110000,,1
198000,3000,0,0,101.200.242.144,46.101.108.159,6,22,34226,0,0,16,2024-07-23 20:42:38,2024-07-23 20:42:38,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,20.150.79.68,6,56715,443,0,0,16,2024-07-23 19:13:11,2024-07-23 19:13:11,0,0,99,99,110000,,1
4062000,3000,0,0,20.150.79.68,101.200.242.144,6,443,56715,0,0,16,2024-07-23 19:12:58,2024-07-23 19:12:58,0,0,99,99,110000,,1
4062000,3000,0,0,20.150.79.68,101.200.242.144,6,443,56715,0,0,16,2024-07-23 19:12:53,2024-07-23 19:12:53,0,0,99,99,110000,,1
402000,3000,0,0,101.32.141.245,101.200.242.144,6,59052,22,0,0,24,2024-07-23 11:12:36,2024-07-23 11:12:36,0,0,99,99,110000,,1
2056000,2000,0,0,43.134.110.112,101.200.242.144,6,37122,22,104,0,24,2024-07-23 16:10:15,2024-07-23 16:10:15,0,0,99,99,310000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55082,0,0,24,2024-07-23 18:24:28,2024-07-23 18:24:28,110000,0,3,99,110000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55085,0,0,24,2024-07-23 18:24:28,2024-07-23 18:24:28,110000,0,3,99,110000,,1
184000,2000,0,0,51.77.58.143,101.200.242.144,6,44966,22,0,0,24,2024-07-23 06:56:23,2024-07-23 06:56:23,0,0,99,99,,,1
4062000,3000,0,0,114.246.9.252,101.200.242.144,6,8080,56380,0,0,16,2024-07-23 20:37:37,2024-07-23 20:37:37,110000,0,3,99,110000,,1
2708000,2000,0,0,34.240.117.4,101.200.242.144,6,443,56220,0,0,16,2024-07-23 20:32:28,2024-07-23 20:32:28,0,0,99,99,,,1
132000,2000,0,0,193.201.9.156,101.200.242.144,6,33325,22,0,0,2,2024-07-23 12:37:02,2024-07-23 12:37:02,0,0,99,99,,,1
120000,2000,0,0,101.200.242.144,34.240.117.4,6,56220,443,0,0,16,2024-07-23 20:32:30,2024-07-23 20:32:30,0,0,99,99,110000,,1
198000,3000,0,0,60.214.127.246,101.200.242.144,6,20403,22,0,0,16,2024-07-23 06:00:38,2024-07-23 06:00:38,370000,0,3,99,110000,,1
180000,3000,0,0,35.203.210.236,101.200.242.144,6,52054,48790,0,0,2,2024-07-23 04:26:32,2024-07-23 04:26:32,0,0,99,99,110000,,1
264000,3000,0,0,51.77.58.143,101.200.242.144,6,59520,22,0,0,24,2024-07-23 06:42:57,2024-07-23 06:42:57,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,20.118.69.96,6,443,57277,0,0,20,2024-07-23 23:35:28,2024-07-23 23:35:28,0,0,99,99,110000,,1
180000,3000,0,0,45.128.232.98,101.200.242.144,6,44282,5000,0,0,2,2024-07-23 07:31:25,2024-07-23 07:31:25,0,0,99,99,110000,,1
164000,2000,0,0,190.174.19.127,101.200.242.144,6,37002,22,0,0,24,2024-07-23 04:43:36,2024-07-23 04:43:36,0,0,99,99,,,1
180000,3000,0,0,101.200.242.144,162.216.149.187,6,46106,49813,0,0,20,2024-07-23 14:00:40,2024-07-23 14:00:40,0,0,99,99,110000,,1
498000,3000,0,0,170.79.37.84,101.200.242.144,6,42938,22,0,0,24,2024-07-23 07:06:21,2024-07-23 07:06:21,0,0,99,99,110000,,1
104000,2000,0,0,43.134.66.16,101.200.242.144,6,47158,22,0,0,17,2024-07-23 20:10:44,2024-07-23 20:10:44,0,0,99,99,,,1
268000,2000,0,0,47.238.161.129,101.200.242.144,6,36346,22,20,0,24,2024-07-23 15:59:16,2024-07-23 15:59:16,0,0,99,99,810000,,1
220000,2000,0,0,101.200.242.144,162.216.150.166,1,0,0,0,0,0,2024-07-23 05:10:52,2024-07-23 05:10:52,0,0,99,99,110000,,1
268000,2000,0,0,113.200.60.74,101.200.242.144,6,54385,22,0,0,24,2024-07-23 19:57:01,2024-07-23 19:57:01,610000,0,3,99,610000,,1
120000,2000,0,0,101.200.242.144,23.206.28.166,6,60584,443,0,0,16,2024-07-23 16:50:06,2024-07-23 16:50:06,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,172.104.40.174,6,27281,43882,0,0,20,2024-07-23 05:33:48,2024-07-23 05:33:48,0,0,99,99,110000,,1
908000,2000,0,0,101.200.242.144,68.183.85.57,6,22,37614,0,0,24,2024-07-23 19:58:36,2024-07-23 19:58:36,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,202.89.233.96,6,52469,443,0,0,16,2024-07-23 14:09:37,2024-07-23 14:09:37,0,0,99,99,110000,,1
